division,crime_type,year,cases
jurong police division,housebreaking,2012,106
jurong police division,housebreaking,2011,170
jurong police division,snatch theft,2024,3
jurong police division,snatch theft,2023,4
jurong police division,snatch theft,2022,7
jurong police division,snatch theft,2021,3
jurong police division,snatch theft,2020,1
jurong police division,snatch theft,2019,4
jurong police division,snatch theft,2018,5
jurong police division,snatch theft,2017,8
jurong police division,snatch theft,2016,20
jurong police division,snatch theft,2015,11
jurong police division,snatch theft,2014,45
jurong police division,snatch theft,2013,46
jurong police division,snatch theft,2012,82
jurong police division,snatch theft,2011,61
jurong police division,theft of motor vehicle,2024,21
jurong police division,theft of motor vehicle,2023,14
jurong police division,theft of motor vehicle,2022,17
jurong police division,theft of motor vehicle,2021,14
jurong police division,theft of motor vehicle,2020,12
jurong police division,theft of motor vehicle,2019,21
jurong police division,theft of motor vehicle,2018,32
jurong police division,theft of motor vehicle,2017,31
jurong police division,theft of motor vehicle,2016,51
jurong police division,theft of motor vehicle,2015,83
jurong police division,theft of motor vehicle,2014,107
jurong police division,theft of motor vehicle,2013,101
jurong police division,theft of motor vehicle,2012,141
jurong police division,theft of motor vehicle,2011,194
jurong police division,outrage of modesty,2024,219
jurong police division,outrage of modesty,2023,227
jurong police division,outrage of modesty,2022,197
jurong police division,outrage of modesty,2021,227
jurong police division,outrage of modesty,2020,224
jurong police division,outrage of modesty,2019,211
jurong police division,outrage of modesty,2018,321
jurong police division,outrage of modesty,2017,299
jurong police division,outrage of modesty,2016,254
jurong police division,outrage of modesty,2015,288
jurong police division,outrage of modesty,2014,284
jurong police division,outrage of modesty,2013,294
jurong police division,outrage of modesty,2012,278
jurong police division,outrage of modesty,2011,287
jurong police division - bukit batok npc,robbery,2024,0
jurong police division - bukit batok npc,robbery,2023,2
jurong police division - bukit batok npc,robbery,2022,1
jurong police division - bukit batok npc,robbery,2021,2
jurong police division - bukit batok npc,robbery,2020,0
jurong police division - bukit batok npc,robbery,2019,0
jurong police division - bukit batok npc,robbery,2018,1
jurong police division - bukit batok npc,robbery,2017,2
jurong police division - bukit batok npc,robbery,2016,1
jurong police division - bukit batok npc,robbery,2015,0
jurong police division - bukit batok npc,robbery,2014,3
jurong police division - bukit batok npc,robbery,2013,5
jurong police division - bukit batok npc,robbery,2012,6
jurong police division - bukit batok npc,robbery,2011,11
jurong police division - bukit batok npc,housebreaking,2024,6
jurong police division - bukit batok npc,housebreaking,2023,3
jurong police division - bukit batok npc,housebreaking,2022,1
jurong police division - bukit batok npc,housebreaking,2021,6
jurong police division - bukit batok npc,housebreaking,2020,2
jurong police division - bukit batok npc,housebreaking,2019,2
jurong police division - bukit batok npc,housebreaking,2018,7
jurong police division - bukit batok npc,housebreaking,2017,2
jurong police division - bukit batok npc,housebreaking,2016,7
jurong police division - bukit batok npc,housebreaking,2015,7
jurong police division - bukit batok npc,housebreaking,2014,7
jurong police division - bukit batok npc,housebreaking,2013,15
jurong police division - bukit batok npc,housebreaking,2012,8
jurong police division - bukit batok npc,housebreaking,2011,33
jurong police division - bukit batok npc,snatch theft,2024,1
jurong police division - bukit batok npc,snatch theft,2023,1
jurong police division - bukit batok npc,snatch theft,2022,1
jurong police division - bukit batok npc,snatch theft,2021,0
jurong police division - bukit batok npc,snatch theft,2020,0
jurong police division - bukit batok npc,snatch theft,2019,1
jurong police division - bukit batok npc,snatch theft,2018,1
jurong police division - bukit batok npc,snatch theft,2017,0
jurong police division - bukit batok npc,snatch theft,2016,4
jurong police division - bukit batok npc,snatch theft,2015,0
jurong police division - bukit batok npc,snatch theft,2014,1
jurong police division - bukit batok npc,snatch theft,2013,8
jurong police division - bukit batok npc,snatch theft,2012,11
jurong police division - bukit batok npc,snatch theft,2011,9
jurong police division - bukit batok npc,theft of motor vehicle,2024,2
jurong police division - bukit batok npc,theft of motor vehicle,2023,3
jurong police division - bukit batok npc,theft of motor vehicle,2022,4
jurong police division - bukit batok npc,theft of motor vehicle,2021,3
jurong police division - bukit batok npc,theft of motor vehicle,2020,2
jurong police division - bukit batok npc,theft of motor vehicle,2019,4
jurong police division - bukit batok npc,theft of motor vehicle,2018,1
jurong police division - bukit batok npc,theft of motor vehicle,2017,0
jurong police division - bukit batok npc,theft of motor vehicle,2016,2
jurong police division - bukit batok npc,theft of motor vehicle,2015,3
jurong police division - bukit batok npc,theft of motor vehicle,2014,4
jurong police division - bukit batok npc,theft of motor vehicle,2013,9
jurong police division - bukit batok npc,theft of motor vehicle,2012,17
jurong police division - bukit batok npc,theft of motor vehicle,2011,21
jurong police division - bukit batok npc,outrage of modesty,2024,51
jurong police division - bukit batok npc,outrage of modesty,2023,52
jurong police division - bukit batok npc,outrage of modesty,2022,35
jurong police division - bukit batok npc,outrage of modesty,2021,41
jurong police division - bukit batok npc,outrage of modesty,2020,42
